id_passageiro,sobreviveu,classe,nome,sexo,idade,irmaos_conjuge,pais_criancas,passagem,tarifa,cabine,embarque
1,nao,3,"Braund, Mr. Owen Harris",masculino,22,1,0,A/5 21171,7.25,NA,Southampton
2,sim,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",feminino,38,1,0,PC 17599,71.2833,C85,Cherbourg
3,sim,3,"Heikkinen, Miss. Laina",feminino,26,0,0,STON/O2. 3101282,7925,NA,Southampton
4,sim,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",feminino,35,1,0,113803,53.1,C123,Southampton
5,nao,3,"Allen, Mr. William Henry",masculino,35,0,0,373450,8.05,NA,Southampton
6,nao,3,"Moran, Mr. James",masculino,NA,0,0,330877,8.4583,NA,Queenstow
7,nao,1,"McCarthy, Mr. Timothy J",masculino,54,0,0,17463,51.8625,E46,Southampton
8,nao,3,"Palsson, Master. Gosta Leonard",masculino,2,3,1,349909,21075,NA,Southampton
9,sim,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",feminino,27,0,2,347742,11.1333,NA,Southampton
10,sim,2,"Nasser, Mrs. Nicholas (Adele Achem)",feminino,14,1,0,237736,30.0708,NA,Cherbourg
11,sim,3,"Sandstrom, Miss. Marguerite Rut",feminino,4,1,1,PP 9549,16.7,G6,Southampton
12,sim,1,"Bonnell, Miss. Elizabeth",feminino,58,0,0,113783,26.55,C103,Southampton
13,nao,3,"Saundercock, Mr. William Henry",masculino,20,0,0,A/5. 2151,8.05,NA,Southampton
14,nao,3,"Andersson, Mr. Anders Johan",masculino,39,1,5,347082,31275,NA,Southampton
15,nao,3,"Vestrom, Miss. Hulda Amanda Adolfina",feminino,14,0,0,350406,7.8542,NA,Southampton
16,sim,2,"Hewlett, Mrs. (Mary D Kingcome)",feminino,55,0,0,248706,16,NA,Southampton
17,nao,3,"Rice, Master. Eugene",masculino,2,4,1,382652,29125,NA,Queenstow
18,sim,2,"Williams, Mr. Charles Eugene",masculino,NA,0,0,244373,13,NA,Southampton
19,nao,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",feminino,31,1,0,345763,18,NA,Southampton
20,sim,3,"Masselmani, Mrs. Fatima",feminino,NA,0,0,2649,7225,NA,Cherbourg
21,nao,2,"Fynney, Mr. Joseph J",masculino,35,0,0,239865,26,NA,Southampton
22,sim,2,"Beesley, Mr. Lawrence",masculino,34,0,0,248698,13,D56,Southampton
23,sim,3,"McGowan, Miss. Anna ""Annie""",feminino,15,0,0,330923,8.0292,NA,Queenstow
24,sim,1,"Sloper, Mr. William Thompson",masculino,28,0,0,113788,35.5,A6,Southampton
25,nao,3,"Palsson, Miss. Torborg Danira",feminino,8,3,1,349909,21075,NA,Southampton
26,sim,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",feminino,38,1,5,347077,31.3875,NA,Southampton
27,nao,3,"Emir, Mr. Farred Chehab",masculino,NA,0,0,2631,7225,NA,Cherbourg
28,nao,1,"Fortune, Mr. Charles Alexander",masculino,19,3,2,19950,263,C23 C25 C27,Southampton
29,sim,3,"O'Dwyer, Miss. Ellen ""Nellie""",feminino,NA,0,0,330959,7.8792,NA,Queenstow
30,nao,3,"Todoroff, Mr. Lalio",masculino,NA,0,0,349216,7.8958,NA,Southampton
31,nao,1,"Uruchurtu, Don. Manuel E",masculino,40,0,0,PC 17601,27.7208,NA,Cherbourg
32,sim,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",feminino,NA,1,0,PC 17569,146.5208,B78,Cherbourg
33,sim,3,"Glynn, Miss. Mary Agatha",feminino,NA,0,0,335677,7.75,NA,Queenstow
34,nao,2,"Wheadon, Mr. Edward H",masculino,66,0,0,C.A. 24579,10.5,NA,Southampton
35,nao,1,"Meyer, Mr. Edgar Joseph",masculino,28,1,0,PC 17604,82.1708,NA,Cherbourg
36,nao,1,"Holverson, Mr. Alexander Oskar",masculino,42,1,0,113789,52,NA,Southampton
37,sim,3,"Mamee, Mr. Hanna",masculino,NA,0,0,2677,7.2292,NA,Cherbourg
38,nao,3,"Cann, Mr. Ernest Charles",masculino,21,0,0,A./5. 2152,8.05,NA,Southampton
39,nao,3,"Vander Planke, Miss. Augusta Maria",feminino,18,2,0,345764,18,NA,Southampton
